free fall at 7s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
0,990	0,053	-1,022	-0,104	-3,693	16,418	-7,538
1,000	0,053	-1,014	-0,126	-3,845	17,578	-6,866
1,010	0,052	-1,007	-0,144	-4,089	17,395	-6,226
1,020	0,057	-1,000	-0,157	-4,303	15,747	-5,920
1,030	0,060	-0,995	-0,161	-4,486	13,275	-6,531
1,040	0,065	-0,993	-0,156	-4,059	10,498	-8,026
1,050	0,068	-0,997	-0,148	-3,143	8,545	-9,949
1,060	0,069	-0,997	-0,132	-2,625	8,240	-11,810
1,070	0,068	-1,003	-0,110	-3,052	10,437	-13,031
1,080	0,063	-1,017	-0,085	-3,082	14,771	-13,519
1,090	0,052	-1,031	-0,071	-1,770	21,118	-13,123
1,100	0,040	-1,045	-0,068	0,153	28,503	-12,360
1,110	0,036	-1,073	-0,080	2,441	35,767	-11,658
1,120	0,071	-1,117	-0,076	6,348	42,419	-10,193
1,130	0,134	-1,131	-0,035	16,510	51,666	-8,514
1,140	0,175	-1,113	-0,000	33,325	67,078	-9,583
1,150	0,188	-1,066	0,008	50,690	84,717	-14,801
1,160	0,173	-1,022	0,000	62,897	100,922	-23,010
1,170	0,140	-0,993	-0,005	67,230	114,502	-31,067
1,180	0,102	-0,983	-0,010	64,819	124,054	-35,950
1,190	0,062	-0,979	-0,031	59,174	127,777	-37,262
1,200	0,023	-0,970	-0,068	51,575	123,718	-36,682
1,210	-0,005	-0,959	-0,101	41,473	110,901	-36,163
1,220	-0,019	-0,949	-0,117	29,114	91,339	-36,957
1,230	-0,022	-0,941	-0,110	16,327	68,634	-39,093
1,240	-0,010	-0,934	-0,088	4,547	45,624	-42,175
1,250	0,008	-0,926	-0,057	-5,920	25,085	-45,776
1,260	0,032	-0,924	-0,025	-14,862	8,514	-49,042
1,270	0,060	-0,923	-0,004	-21,729	-3,387	-51,880
1,280	0,083	-0,927	0,006	-26,398	-10,681	-54,230
1,290	0,101	-0,938	0,016	-29,327	-14,984	-55,939
1,300	0,109	-0,956	0,027	-31,677	-17,029	-56,641
1,310	0,116	-0,975	0,032	-33,112	-18,188	-56,183
1,320	0,117	-0,979	0,041	-33,813	-18,372	-54,504
1,330	0,105	-0,974	0,047	-34,485	-18,097	-52,734
1,340	0,096	-0,957	0,038	-34,607	-18,921	-51,514
1,350	0,099	-0,940	0,011	-35,156	-20,630	-50,385
1,360	0,109	-0,930	-0,023	-36,499	-23,682	-49,683
1,370	0,123	-0,923	-0,053	-38,330	-29,236	-49,591
1,380	0,137	-0,916	-0,069	-40,894	-36,041	-50,537
1,390	0,146	-0,916	-0,070	-44,159	-42,633	-52,460
