free fall at 7s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
4,270	-0,090	-0,906	-0,369	12,970	2,930	-13,885
4,280	-0,097	-0,915	-0,396	17,029	0,946	-15,045
4,290	-0,106	-0,926	-0,419	19,775	-1,312	-15,900
4,300	-0,114	-0,930	-0,431	19,928	-3,113	-15,839
4,310	-0,120	-0,933	-0,428	17,334	-3,448	-14,496
4,320	-0,123	-0,934	-0,410	13,062	-2,747	-11,475
4,330	-0,117	-0,933	-0,385	8,331	-1,587	-7,446
4,340	-0,110	-0,932	-0,353	4,639	-0,366	-3,815
4,350	-0,099	-0,931	-0,324	4,700	0,031	-1,251
4,360	-0,088	-0,933	-0,316	9,186	-0,244	-0,519
4,370	-0,079	-0,937	-0,327	14,740	-1,373	-1,587
4,380	-0,076	-0,940	-0,341	18,402	-2,716	-3,632
4,390	-0,079	-0,938	-0,348	19,806	-3,510	-5,890
4,400	-0,084	-0,938	-0,342	19,958	-3,510	-7,629
4,410	-0,088	-0,942	-0,331	19,714	-2,655	-8,362
4,420	-0,086	-0,943	-0,318	19,623	-1,312	-8,087
4,430	-0,075	-0,946	-0,303	19,470	0,214	-7,568
4,440	-0,061	-0,951	-0,290	18,768	1,556	-7,538
4,450	-0,053	-0,952	-0,284	17,792	2,655	-8,698
4,460	-0,055	-0,950	-0,284	16,998	3,052	-10,803
4,470	-0,065	-0,952	-0,287	16,998	2,808	-12,939
4,480	-0,075	-0,959	-0,293	18,829	2,472	-14,343
4,490	-0,079	-0,965	-0,296	22,369	2,441	-14,832
4,500	-0,079	-0,971	-0,297	26,184	2,991	-14,496
4,510	-0,073	-0,974	-0,295	28,900	3,998	-13,733
4,520	-0,063	-0,971	-0,294	29,419	5,066	-12,939
4,530	-0,050	-0,967	-0,289	27,466	5,920	-12,665
4,540	-0,039	-0,959	-0,278	24,139	6,165	-13,000
4,550	-0,033	-0,953	-0,267	20,630	6,317	-13,977
4,560	-0,031	-0,951	-0,259	17,914	6,592	-15,198
4,570	-0,034	-0,947	-0,252	17,029	7,385	-16,296
4,580	-0,042	-0,944	-0,245	18,341	8,148	-17,273
4,590	-0,049	-0,940	-0,235	21,301	7,996	-18,066
4,600	-0,055	-0,943	-0,219	24,139	7,416	-18,341
4,610	-0,063	-0,957	-0,204	25,208	7,141	-16,663
4,620	-0,072	-0,961	-0,192	24,017	6,958	-12,848
4,630	-0,076	-0,956	-0,188	21,515	6,836	-8,179
4,640	-0,077	-0,950	-0,192	18,951	6,683	-2,991
4,650	-0,069	-0,951	-0,201	16,296	6,165	1,923
4,660	-0,055	-0,956	-0,209	12,756	5,737	5,798
4,670	-0,041	-0,958	-0,214	7,690	5,798	8,423
4,680	-0,033	-0,950	-0,206	1,862	5,951	9,857
4,690	-0,029	-0,942	-0,188	-3,204	5,890	10,040
4,700	-0,025	-0,946	-0,173	-6,592	5,463	9,216
4,710	-0,020	-0,949	-0,166	-7,172	5,096	7,568
4,720	-0,020	-0,941	-0,169	-4,669	5,341	5,005
4,730	-0,025	-0,942	-0,186	0,641	5,707	1,984
4,740	-0,028	-0,940	-0,212	7,141	5,981	-1,617
4,750	-0,029	-0,945	-0,238	11,841	6,134	-5,310
4,760	-0,036	-0,955	-0,258	13,489	6,134	-8,820
4,770	-0,049	-0,958	-0,264	12,299	6,073	-11,597
4,780	-0,064	-0,964	-0,253	9,125	5,493	-12,573
4,790	-0,073	-0,974	-0,241	5,768	4,852	-11,444
4,800	-0,078	-0,977	-0,232	2,960	5,005	-8,667
4,810	-0,076	-0,977	-0,225	0,916	5,219	-4,944
4,820	-0,063	-0,977	-0,219	0,061	4,791	-1,526
4,830	-0,045	-0,974	-0,211	0,458	4,211	0,488
4,840	-0,035	-0,974	-0,200	1,587	3,998	1,190
4,850	-0,031	-0,974	-0,192	3,174	3,937	1,221
4,860	-0,032	-0,974	-0,192	4,669	4,028	0,977
4,870	-0,037	-0,974	-0,199	5,432	4,120	1,007
4,880	-0,039	-0,971	-0,208	5,310	4,181	1,129
4,890	-0,041	-0,968	-0,210	4,456	4,333	1,099
4,900	-0,042	-0,968	-0,210	2,991	3,967	0,916
4,910	-0,040	-0,968	-0,211	0,763	2,747	0,641
4,920	-0,037	-0,968	-0,215	-2,289	1,404	0,153
4,930	-0,035	-0,970	-0,220	-5,890	0,214	-0,427
4,940	-0,031	-0,968	-0,217	-9,613	-0,824	-0,916
4,950	-0,029	-0,963	-0,203	-11,505	-1,770	-1,312
4,960	-0,023	-0,959	-0,193	-10,651	-2,716	-1,953
4,970	-0,019	-0,955	-0,193	-7,843	-3,601	-2,838
4,980	-0,020	-0,960	-0,210	-4,303	-3,937	-4,120
4,990	-0,033	-0,963	-0,237	-1,282	-2,502	-5,585
5,000	-0,048	-0,965	-0,255	-0,580	-0,549	-6,104
5,010	-0,053	-0,964	-0,256	-2,472	0,854	-5,005
5,020	-0,045	-0,964	-0,248	-5,859	1,831	-2,747
5,030	-0,030	-0,967	-0,239	-9,583	2,319	-0,641
5,040	-0,020	-0,966	-0,237	-13,000	2,899	0,305
5,050	-0,021	-0,960	-0,241	-15,869	3,571	0,122
5,060	-0,031	-0,951	-0,246	-18,188	3,571	-0,519
5,070	-0,042	-0,947	-0,247	-19,867	2,655	-0,946
5,080	-0,050	-0,944	-0,244	-20,538	1,434	-0,549
5,090	-0,051	-0,943	-0,235	-19,867	0,305	0,824
5,100	-0,043	-0,942	-0,225	-17,822	-0,336	2,563
5,110	-0,028	-0,942	-0,219	-14,587	-0,824	3,723
5,120	-0,012	-0,939	-0,219	-10,712	-1,556	3,510
5,130	-0,001	-0,935	-0,223	-6,989	-2,563	1,678
5,140	0,003	-0,937	-0,229	-3,937	-3,662	-1,190
5,150	0,001	-0,943	-0,236	-1,709	-3,998	-4,242
5,160	-0,007	-0,950	-0,244	-0,610	-3,174	-6,500
5,170	-0,019	-0,952	-0,253	-0,732	-1,404	-8,270
5,180	-0,030	-0,955	-0,262	-2,258	0,488	-9,583
5,190	-0,038	-0,955	-0,270	-4,242	2,075	-10,590
5,200	-0,042	-0,948	-0,276	-5,585	2,930	-11,566
5,210	-0,040	-0,938	-0,279	-5,981	2,716	-12,238
5,220	-0,036	-0,925	-0,280	-5,341	2,014	-12,878
5,230	-0,032	-0,916	-0,277	-4,364	1,343	-13,672
5,240	-0,029	-0,919	-0,271	-3,662	1,099	-14,282
5,250	-0,027	-0,928	-0,261	-3,204	1,373	-14,465
5,260	-0,027	-0,935	-0,250	-2,869	1,709	-14,099
5,270	-0,025	-0,941	-0,243	-2,319	1,740	-13,062
5,280	-0,021	-0,943	-0,236	-1,007	1,495	-11,566
5,290	-0,019	-0,947	-0,230	1,129	0,885	-9,766
5,300	-0,016	-0,952	-0,229	3,601	0,305	-7,843
5,310	-0,011	-0,958	-0,231	5,920	-0,244	-5,920
5,320	-0,004	-0,961	-0,234	8,118	-0,519	-4,486
5,330	0,006	-0,963	-0,235	9,827	-0,549	-3,784
5,340	0,015	-0,970	-0,237	10,895	0,061	-3,601
5,350	0,021	-0,980	-0,239	11,505	1,404	-3,448
5,360	0,023	-0,990	-0,239	11,597	3,326	-3,204
5,370	0,024	-0,995	-0,240	10,651	5,066	-3,082
5,380	0,024	-0,995	-0,240	8,545	5,707	-2,777
5,390	0,025	-0,991	-0,240	5,585	5,005	-2,258
5,400	0,028	-0,989	-0,236	2,380	3,784	-1,617
5,410	0,030	-0,990	-0,230	-0,275	3,204	-0,824
5,420	0,029	-0,992	-0,220	-1,678	3,906	-0,031
5,430	0,025	-0,993	-0,210	-1,617	5,920	0,763
5,440	0,020	-0,989	-0,203	-0,366	8,545	1,648
5,450	0,016	-0,983	-0,198	1,648	10,864	2,655
5,460	0,016	-0,975	-0,194	4,211	12,268	3,174
5,470	0,019	-0,973	-0,194	6,989	12,299	3,021
5,480	0,023	-0,977	-0,193	9,644	10,712	2,380
5,490	0,030	-0,980	-0,190	11,963	7,935	1,160
5,500	0,035	-0,982	-0,186	14,008	5,280	-0,580
5,510	0,036	-0,980	-0,182	15,839	3,662	-2,533
5,520	0,031	-0,980	-0,181	17,242	2,930	-4,303
5,530	0,021	-0,981	-0,186	18,616	2,563	-5,951
5,540	0,010	-0,981	-0,194	20,386	1,984	-7,416
5,550	0,001	-0,981	-0,205	22,491	0,763	-8,575
5,560	-0,003	-0,976	-0,213	24,170	-1,343	-9,186
5,570	-0,002	-0,970	-0,219	24,567	-3,998	-9,216
5,580	0,006	-0,968	-0,221	23,712	-6,714	-9,033
5,590	0,016	-0,969	-0,221	21,942	-8,698	-9,094
5,600	0,024	-0,971	-0,219	19,928	-9,338	-9,491
5,610	0,028	-0,970	-0,216	18,402	-8,606	-10,101
5,620	0,028	-0,967	-0,208	17,456	-7,416	-10,468
5,630	0,031	-0,967	-0,195	16,907	-6,531	-10,345
5,640	0,035	-0,971	-0,182	16,785	-5,798	-9,979
5,650	0,039	-0,975	-0,167	16,998	-5,096	-9,735
5,660	0,047	-0,976	-0,155	17,273	-4,578	-9,583
5,670	0,052	-0,976	-0,145	16,937	-3,937	-9,186
5,680	0,055	-0,979	-0,139	15,625	-2,991	-8,698
5,690	0,055	-0,981	-0,137	13,702	-2,106	-8,148
5,700	0,056	-0,979	-0,138	11,871	-1,740	-7,477
5,710	0,057	-0,973	-0,140	10,193	-1,373	-6,805
5,720	0,058	-0,970	-0,142	8,301	-0,854	-6,348
5,730	0,058	-0,973	-0,144	6,256	-0,305	-6,012
5,740	0,057	-0,980	-0,144	4,364	-0,092	-5,707
5,750	0,054	-0,984	-0,143	2,838	-0,366	-5,524
5,760	0,052	-0,984	-0,142	1,648	-1,099	-5,554
5,770	0,050	-0,983	-0,139	0,671	-1,953	-5,554
5,780	0,048	-0,981	-0,135	-0,031	-2,563	-5,493
5,790	0,048	-0,982	-0,132	-0,488	-2,625	-5,249
5,800	0,049	-0,981	-0,128	-0,305	-1,892	-4,944
5,810	0,049	-0,980	-0,125	0,580	-0,610	-4,669
5,820	0,049	-0,978	-0,123	2,075	1,038	-4,425
5,830	0,044	-0,977	-0,125	4,028	2,869	-4,333
5,840	0,037	-0,975	-0,128	6,256	4,059	-4,547
5,850	0,033	-0,975	-0,132	8,484	3,784	-4,883
5,860	0,034	-0,971	-0,133	10,406	2,533	-5,219
5,870	0,037	-0,969	-0,133	11,566	1,434	-5,493
5,880	0,039	-0,968	-0,130	11,841	0,824	-5,920
5,890	0,040	-0,970	-0,126	11,169	0,092	-6,470
5,900	0,040	-0,975	-0,120	9,766	-0,854	-6,927
5,910	0,040	-0,982	-0,110	8,026	-1,556	-7,019
5,920	0,039	-0,987	-0,101	6,134	-1,678	-6,439
5,930	0,038	-0,990	-0,093	4,303	-1,556	-5,157
5,940	0,037	-0,991	-0,089	3,113	-1,648	-3,357
5,950	0,039	-0,990	-0,092	2,808	-1,892	-1,404
5,960	0,043	-0,990	-0,096	3,265	-1,923	0,336
5,970	0,046	-0,992	-0,102	4,242	-1,343	1,740
5,980	0,046	-0,996	-0,107	5,432	-0,214	2,930
5,990	0,046	-1,002	-0,111	6,256	1,038	4,181
6,000	0,046	-1,009	-0,112	6,226	1,862	5,798
6,010	0,048	-1,011	-0,109	5,280	2,167	7,751
6,020	0,051	-1,010	-0,105	3,387	1,953	9,674
6,030	0,055	-1,007	-0,101	1,038	1,465	11,169
6,040	0,057	-1,002	-0,101	-0,702	1,465	12,024
6,050	0,056	-0,997	-0,102	-1,373	2,167	12,238
6,060	0,053	-0,993	-0,105	-0,885	3,082	11,963
6,070	0,047	-0,991	-0,110	0,763	3,967	11,444
6,080	0,042	-0,990	-0,115	3,052	4,547	10,742
6,090	0,040	-0,988	-0,120	5,341	4,547	9,918
6,100	0,039	-0,987	-0,124	7,080	4,303	8,881
6,110	0,036	-0,986	-0,126	8,087	4,089	7,538
6,120	0,032	-0,986	-0,127	8,453	3,998	5,951
6,130	0,028	-0,986	-0,129	8,423	3,662	4,303
6,140	0,025	-0,982	-0,132	7,996	3,052	3,021
6,150	0,022	-0,975	-0,135	7,080	2,716	2,106
6,160	0,018	-0,969	-0,137	5,646	2,930	1,556
6,170	0,014	-0,966	-0,137	3,967	3,326	1,251
6,180	0,014	-0,966	-0,133	2,258	3,387	1,068
6,190	0,015	-0,969	-0,128	0,549	2,747	0,763
6,200	0,016	-0,969	-0,125	-0,916	1,556	0,061
6,210	0,016	-0,966	-0,124	-1,892	0,031	-1,038
6,220	0,015	-0,962	-0,123	-2,350	-1,495	-2,228
6,230	0,015	-0,957	-0,123	-2,350	-2,411	-3,265
6,240	0,013	-0,953	-0,121	-1,953	-2,197	-4,028
6,250	0,008	-0,951	-0,119	-1,434	-1,129	-4,333
6,260	0,004	-0,955	-0,116	-1,129	-0,061	-4,089
6,270	0,002	-0,962	-0,115	-0,854	0,793	-3,387
6,280	-0,001	-0,968	-0,117	-0,366	1,221	-2,472
6,290	-0,000	-0,972	-0,118	0,427	0,763	-1,678
6,300	0,004	-0,972	-0,116	1,099	-0,519	-1,099
6,310	0,012	-0,972	-0,114	1,343	-1,892	-0,702
6,320	0,019	-0,976	-0,109	1,190	-2,838	-0,702
6,330	0,024	-0,983	-0,102	0,824	-3,174	-0,854
6,340	0,027	-0,990	-0,094	0,092	-2,960	-0,885
6,350	0,029	-0,993	-0,086	-1,068	-2,563	-0,519
6,360	0,029	-0,994	-0,079	-2,197	-2,167	0,092
6,370	0,030	-0,993	-0,074	-2,869	-1,740	0,793
6,380	0,032	-0,992	-0,069	-2,960	-1,434	1,434
6,390	0,034	-0,995	-0,065	-2,502	-1,190	1,923
6,400	0,037	-0,996	-0,063	-1,709	-0,977	2,045
6,410	0,037	-0,999	-0,060	-0,946	-0,580	2,014
6,420	0,034	-1,001	-0,060	-0,305	0,183	1,953
6,430	0,029	-1,004	-0,062	0,244	1,007	2,075
6,440	0,024	-1,005	-0,065	0,824	1,587	2,411
6,450	0,022	-1,007	-0,068	1,495	1,740	2,930
6,460	0,021	-1,007	-0,070	1,923	1,465	3,387
6,470	0,024	-1,006	-0,071	1,678	0,824	3,754
6,480	0,028	-1,004	-0,073	0,946	0,092	4,028
6,490	0,029	-1,000	-0,077	0,305	-0,305	3,906
6,500	0,028	-0,994	-0,081	0,336	-0,580	3,174
6,510	0,027	-0,987	-0,085	1,312	-0,824	2,014
6,520	0,026	-0,980	-0,087	2,625	-0,824	0,732
6,530	0,022	-0,978	-0,090	3,693	-0,580	-0,305
6,540	0,018	-0,978	-0,093	4,211	-0,275	-0,793
6,550	0,017	-0,979	-0,095	4,120	-0,244	-0,641
6,560	0,019	-0,978	-0,098	3,479	-0,488	-0,183
6,570	0,022	-0,978	-0,101	2,502	-0,763	-0,031
6,580	0,024	-0,980	-0,102	1,495	-0,977	-0,488
6,590	0,024	-0,981	-0,101	0,702	-1,099	-1,556
6,600	0,022	-0,980	-0,100	0,183	-1,160	-2,838
6,610	0,021	-0,980	-0,095	-0,305	-1,434	-4,089
6,620	0,020	-0,978	-0,089	-0,916	-1,923	-5,096
6,630	0,020	-0,978	-0,084	-1,495	-2,502	-5,737
6,640	0,019	-0,977	-0,080	-1,801	-3,235	-6,165
6,650	0,023	-0,980	-0,076	-1,740	-4,272	-6,622
6,660	0,027	-0,983	-0,075	-1,221	-4,852	-7,233
6,670	0,030	-0,986	-0,075	-0,702	-5,005	-7,904
6,680	0,031	-0,988	-0,075	-0,336	-4,883	-8,270
6,690	0,030	-0,986	-0,076	-0,336	-4,700	-8,179
6,700	0,030	-0,983	-0,078	-0,885	-4,700	-7,568
6,710	0,032	-0,981	-0,081	-1,801	-4,852	-6,714
6,720	0,034	-0,980	-0,083	-2,563	-4,913	-5,951
6,730	0,037	-0,979	-0,087	-2,777	-4,730	-5,524
6,740	0,040	-0,978	-0,092	-2,289	-4,211	-5,554
6,750	0,041	-0,978	-0,094	-1,404	-3,510	-5,859
6,760	0,042	-0,980	-0,097	-0,610	-2,838	-6,378
6,770	0,041	-0,982	-0,100	-0,061	-2,136	-7,050
6,780	0,036	-0,980	-0,100	0,000	-1,434	-7,568
6,790	0,032	-0,979	-0,099	-0,519	-0,916	-7,599
6,800	0,028	-0,978	-0,099	-1,221	-0,397	-7,050
6,810	0,024	-0,977	-0,097	-1,770	0,366	-6,042
6,820	0,021	-0,978	-0,094	-1,831	1,312	-4,791
6,830	0,019	-0,977	-0,092	-1,495	2,289	-3,296
6,840	0,018	-0,978	-0,090	-1,099	2,960	-1,648
6,850	0,019	-0,979	-0,088	-0,854	3,082	0,092
6,860	0,022	-0,978	-0,090	-0,793	2,899	1,678
6,870	0,028	-0,975	-0,094	-0,671	2,594	2,808
6,880	0,034	-0,973	-0,099	-0,366	2,533	3,265
6,890	0,038	-0,972	-0,102	0,031	2,838	3,082
6,900	0,040	-0,970	-0,105	0,305	3,235	2,441
6,910	0,042	-0,969	-0,107	0,366	3,540	1,831
6,920	0,039	-0,967	-0,113	0,610	3,998	1,312
6,930	0,039	-0,963	-0,121	2,014	4,211	0,488
6,940	0,041	-0,953	-0,127	4,974	3,998	-0,702
6,950	0,044	-0,932	-0,128	8,331	3,418	-2,777
6,960	0,049	-0,910	-0,124	9,674	2,319	-5,371
6,970	0,052	-0,899	-0,120	8,179	0,763	-8,057
6,980	0,048	-0,884	-0,111	5,554	-1,862	-11,200
6,990	0,050	-0,857	-0,091	3,174	-6,348	-14,832
7,000	0,061	-0,823	-0,063	1,129	-10,834	-18,524
7,010	0,073	-0,776	-0,029	-0,488	-13,306	-23,041
7,020	0,079	-0,644	0,003	-2,319	-13,367	-28,198
7,030	0,062	-0,475	0,006	-4,303	-10,498	-27,588
7,040	0,051	-0,343	0,009	-6,470	-7,874	-25,055
7,050	0,042	-0,248	0,011	-8,026	-5,951	-23,193
7,060	0,037	-0,178	0,012	-9,186	-4,547	-21,820
7,070	0,032	-0,127	0,013	-10,010	-3,510	-20,844
7,080	0,030	-0,090	0,013	-10,620	-2,777	-20,142
7,090	0,027	-0,063	0,014	-11,108	-2,197	-19,623
7,100	0,025	-0,044	0,014	-11,444	-1,801	-19,257
7,110	0,023	-0,030	0,014	-11,688	-1,495	-19,012
7,120	0,023	-0,020	0,014	-11,871	-1,251	-18,860
7,130	0,022	-0,013	0,014	-12,054	-1,068	-18,738
7,140	0,022	-0,007	0,014	-12,177	-0,946	-18,677
7,150	0,021	-0,003	0,014	-12,299	-0,854	-18,677
7,160	0,021	0,000	0,015	-12,421	-0,793	-18,677
7,170	0,021	0,003	0,015	-12,512	-0,732	-18,677
7,180	0,021	0,004	0,015	-12,634	-0,671	-18,738
7,190	0,021	0,005	0,015	-12,726	-0,641	-18,829
7,200	0,021	0,005	0,015	-12,878	-0,610	-18,890
7,210	0,021	0,006	0,015	-13,031	-0,610	-18,982
7,220	0,020	0,006	0,015	-13,214	-0,580	-19,104
7,230	0,020	0,007	0,014	-13,397	-0,580	-19,196
7,240	0,021	0,007	0,014	-13,641	-0,610	-19,287
7,250	0,020	0,006	0,015	-13,916	-0,641	-19,379
7,260	0,020	0,007	0,015	-14,221	-0,671	-19,470
7,270	0,021	0,006	0,014	-14,587	-0,732	-19,562
7,280	0,021	0,006	0,013	-14,984	-0,824	-19,653
7,290	0,021	0,006	0,013	-15,381	-0,885	-19,775
7,300	0,021	0,006	0,013	-15,808	-0,946	-19,928
7,310	0,021	0,006	0,012	-16,266	-1,038	-20,050
7,320	0,021	0,006	0,012	-16,754	-1,129	-20,233
7,330	0,021	0,006	0,011	-17,273	-1,251	-20,416
7,340	0,022	0,005	0,011	-17,822	-1,373	-20,599
7,350	0,022	0,005	0,011	-18,433	-1,495	-20,752
7,360	0,022	0,004	0,010	-19,012	-1,678	-20,966
7,370	0,023	0,004	0,010	-19,592	-1,862	-21,149
7,380	0,023	0,004	0,009	-20,203	-2,075	-21,393
7,390	0,023	0,004	0,009	-20,844	-2,289	-21,637
7,400	0,023	0,003	0,007	-21,484	-2,472	-21,912
7,410	0,023	0,003	0,007	-22,125	-2,716	-22,217
7,420	0,023	0,002	0,007	-22,827	-2,991	-22,522
7,430	0,024	0,002	0,006	-23,468	-3,235	-22,827
7,440	0,025	0,001	0,005	-24,170	-3,448	-23,132
7,450	0,025	0,001	0,004	-24,994	-3,693	-23,499
7,460	0,026	0,001	0,003	-25,879	-3,937	-23,895
7,470	0,026	0,001	0,002	-26,764	-4,272	-24,353
7,480	0,026	0,001	0,002	-27,557	-4,608	-24,811
7,490	0,026	0,001	0,002	-28,351	-4,913	-25,238
7,500	0,026	0,001	0,000	-29,297	-5,127	-25,665
7,510	0,027	0,001	-0,002	-30,487	-5,249	-26,031
7,520	0,026	0,001	-0,004	-31,830	-5,402	-26,367
7,530	0,026	0,002	-0,005	-33,386	-5,676	-26,642
7,540	-0,212	-1,577	-0,528	-35,645	-2,258	-31,921
7,550	0,001	-3,611	-0,981	-55,908	71,289	-134,613
7,560	1,311	-4,789	-1,516	-32,532	180,389	-265,411
7,570	4,211	-4,783	-2,003	5,371	145,691	-202,484
7,580	2,449	-4,566	-1,255	53,925	94,757	-76,477
7,590	1,788	-3,692	-0,884	133,911	55,176	52,307
7,600	1,113	-3,030	-0,534	170,685	34,180	106,110
7,610	0,860	-2,586	-0,132	169,495	45,502	81,635
7,620	0,700	-2,289	-0,006	154,602	93,353	40,222
7,630	0,636	-1,963	0,070	136,780	130,554	5,371
7,640	0,579	-1,663	0,092	121,735	150,726	-14,221
7,650	0,557	-1,487	0,078	105,255	157,074	-22,766
7,660	0,589	-1,471	0,040	90,240	149,170	-25,146
7,670	0,649	-1,590	0,012	79,956	131,683	-22,156
7,680	0,661	-1,710	0,014	74,158	114,380	-12,634
7,690	0,629	-1,743	0,036	71,045	100,769	-0,092
7,700	0,582	-1,739	0,068	69,153	89,294	8,209
7,710	0,542	-1,760	0,090	69,794	79,651	11,658
7,720	0,527	-1,816	0,094	72,571	73,212	12,024
7,730	0,531	-1,917	0,084	75,806	71,045	11,841
7,740	0,566	-2,049	0,086	79,987	68,848	12,421
7,750	0,637	-2,115	0,118	83,130	62,653	14,374
7,760	0,721	-2,111	0,184	80,597	55,756	17,212
7,770	0,780	-2,111	0,291	70,801	53,619	21,606
7,780	0,756	-2,156	0,421	63,171	52,704	24,445
7,790	0,705	-2,103	0,513	62,225	41,016	23,407
7,800	0,681	-2,003	0,600	57,526	22,614	21,484
7,810	0,671	-1,921	0,664	46,326	8,087	20,660
7,820	0,638	-1,833	0,685	32,562	-1,038	20,599
7,830	0,586	-1,727	0,689	18,402	-8,606	21,271
7,840	0,515	-1,633	0,651	4,517	-16,632	21,210
7,850	0,455	-1,552	0,582	-7,751	-25,238	18,951
7,860	0,416	-1,484	0,499	-17,029	-32,288	13,275
7,870	0,405	-1,427	0,425	-23,041	-36,957	4,486
7,880	0,428	-1,376	0,369	-25,330	-39,124	-6,134
7,890	0,467	-1,318	0,323	-23,865	-37,628	-17,212
7,900	0,504	-1,244	0,284	-19,592	-32,471	-26,123
7,910	0,522	-1,160	0,258	-14,526	-24,506	-31,219
7,920	0,506	-1,095	0,247	-10,956	-14,954	-33,051
7,930	0,464	-1,057	0,240	-9,430	-5,829	-33,142
7,940	0,412	-1,030	0,227	-9,094	0,671	-32,104
7,950	0,370	-1,010	0,208	-9,064	2,960	-30,212
7,960	0,348	-0,991	0,188	-8,453	1,617	-27,802
7,970	0,344	-0,971	0,172	-6,592	-2,258	-24,475
7,980	0,354	-0,948	0,169	-4,089	-7,629	-19,531
7,990	0,365	-0,914	0,176	-1,129	-13,519	-13,306
8,000	0,362	-0,879	0,187	1,129	-18,555	-6,622
8,010	0,344	-0,854	0,204	1,770	-21,973	-0,488
8,020	0,322	-0,823	0,213	1,343	-23,560	3,967
8,030	0,302	-0,791	0,214	0,427	-22,949	5,951
8,040	0,289	-0,769	0,211	0,000	-20,599	6,012
8,050	0,278	-0,758	0,209	-0,092	-17,548	5,371
8,060	0,270	-0,760	0,212	-0,854	-14,160	5,249
8,070	0,260	-0,766	0,210	-2,045	-10,437	5,554
8,080	0,245	-0,768	0,200	-3,174	-7,080	5,402
8,090	0,234	-0,769	0,186	-3,906	-4,913	4,242
8,100	0,239	-0,777	0,171	-3,754	-3,937	1,709
8,110	0,261	-0,790	0,159	-2,289	-3,296	-1,404
8,120	0,295	-0,802	0,156	-0,183	-2,228	-3,601
8,130	0,329	-0,813	0,167	1,312	-0,519	-3,784
8,140	0,347	-0,824	0,185	1,312	1,984	-1,312
8,150	0,343	-0,832	0,201	-0,549	4,150	3,204
8,160	0,327	-0,838	0,207	-3,754	4,425	8,850
8,170	0,310	-0,845	0,202	-7,477	3,052	14,709
8,180	0,298	-0,853	0,187	-10,742	0,977	19,806
8,190	0,294	-0,859	0,167	-12,390	-1,465	23,621
8,200	0,301	-0,869	0,150	-12,268	-4,089	25,726
8,210	0,313	-0,882	0,140	-10,803	-6,165	26,215
8,220	0,320	-0,898	0,138	-8,484	-6,439	25,269
8,230	0,315	-0,918	0,142	-6,256	-4,974	23,163
8,240	0,301	-0,943	0,152	-4,883	-3,082	20,233
8,250	0,284	-0,968	0,167	-5,005	-1,709	16,693
8,260	0,270	-0,983	0,180	-6,409	-1,007	12,634
8,270	0,264	-0,987	0,183	-8,270	-0,977	8,453
8,280	0,268	-0,987	0,180	-9,888	-1,343	4,974
8,290	0,278	-0,985	0,176	-10,742	-1,678	2,655
8,300	0,290	-0,979	0,177	-10,834	-2,045	1,740
8,310	0,300	-0,968	0,179	-10,315	-2,319	1,862
8,320	0,305	-0,958	0,181	-9,430	-1,923	2,380
8,330	0,305	-0,953	0,180	-8,606	-1,282	3,021
8,340	0,302	-0,955	0,182	-8,179	-0,519	3,540
8,350	0,293	-0,966	0,184	-8,301	0,519	3,601
8,360	0,284	-0,980	0,184	-8,575	1,068	3,143
8,370	0,283	-0,991	0,183	-8,392	0,732	2,258
8,380	0,288	-0,996	0,180	-7,843	0,305	1,099
8,390	0,297	-0,997	0,177	-6,989	0,153	-0,214
8,400	0,306	-0,992	0,174	-5,859	0,336	-1,099
8,410	0,311	-0,985	0,174	-4,822	0,793	-1,373
8,420	0,313	-0,981	0,177	-4,272	1,221	-1,282
8,430	0,311	-0,981	0,183	-4,364	1,495	-1,404
8,440	0,304	-0,978	0,189	-4,639	1,343	-2,075
8,450	0,297	-0,968	0,192	-4,852	0,641	-2,930
8,460	0,293	-0,957	0,190	-4,730	-0,580	-3,662
8,470	0,294	-0,948	0,186	-4,150	-1,953	-3,967
8,480	0,297	-0,941	0,183	-3,357	-3,143	-3,723
8,490	0,299	-0,934	0,183	-2,441	-3,845	-3,235
8,500	0,300	-0,927	0,184	-1,526	-4,181	-2,686
8,510	0,303	-0,923	0,188	-0,793	-4,333	-1,892
8,520	0,307	-0,923	0,192	-0,427	-4,333	-0,793
8,530	0,310	-0,927	0,197	-0,702	-4,181	0,336
8,540	0,310	-0,929	0,200	-1,495	-4,120	1,190
8,550	0,311	-0,931	0,199	-2,563	-4,181	1,495
8,560	0,312	-0,930	0,192	-3,357	-4,120	1,129
8,570	0,313	-0,926	0,180	-3,510	-3,845	0,275
8,580	0,311	-0,921	0,168	-3,113	-3,510	-0,702
8,590	0,306	-0,916	0,162	-2,319	-3,052	-1,801
8,600	0,301	-0,913	0,159	-1,282	-2,808	-2,960
8,610	0,295	-0,913	0,160	-0,366	-2,808	-3,967
8,620	0,291	-0,914	0,163	0,336	-3,082	-4,486
8,630	0,287	-0,917	0,166	0,732	-3,540	-4,517
8,640	0,282	-0,917	0,167	0,854	-4,150	-4,181
8,650	0,280	-0,918	0,167	0,671	-4,974	-3,357
8,660	0,283	-0,923	0,166	0,214	-5,981	-2,197
8,670	0,293	-0,931	0,168	-0,336	-6,927	-1,099
8,680	0,302	-0,936	0,168	-0,885	-7,263	-0,366
