potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
1,030	0,323	0,211	-0,928	-30,243	8,698	12,390
1,040	0,296	0,204	-0,924	-23,743	11,475	12,146
1,050	0,265	0,232	-0,942	-16,296	13,580	9,827
1,060	0,267	0,254	-0,953	-11,200	15,045	6,683
1,070	0,282	0,268	-0,955	-9,003	16,510	4,730
1,080	0,300	0,276	-0,939	-8,972	18,097	4,913
1,090	0,318	0,280	-0,913	-10,498	18,921	6,836
1,100	0,322	0,301	-0,880	-13,092	18,280	10,468
1,110	0,333	0,283	-0,852	-17,700	15,045	16,479
1,120	0,357	0,242	-0,805	-23,956	9,552	19,196
1,130	0,358	0,223	-0,729	-30,426	2,716	17,181
1,140	0,343	0,234	-0,658	-33,783	-6,226	17,792
1,150	0,363	0,209	-0,690	-32,013	-16,815	24,048
1,160	0,411	0,196	-0,803	-26,520	-19,928	28,198
1,170	0,434	0,217	-0,892	-20,508	-16,754	26,306
1,180	0,421	0,248	-0,940	-15,320	-17,578	22,339
1,190	0,386	0,236	-0,960	-10,895	-21,881	17,914
1,200	0,366	0,188	-0,967	-4,517	-25,024	13,367
1,210	0,356	0,172	-0,992	5,798	-25,024	6,958
1,220	0,334	0,217	-1,029	17,151	-27,740	1,434
1,230	0,341	0,278	-1,059	26,398	-31,982	0,031
1,240	0,355	0,369	-1,100	37,872	-34,180	4,913
1,250	0,382	0,449	-1,189	50,873	-30,121	16,266
1,260	0,443	0,464	-1,298	62,225	-16,876	29,175
1,270	0,493	0,469	-1,408	70,465	3,357	38,544
1,280	0,525	0,494	-1,510	75,073	24,963	43,671
1,290	0,538	0,522	-1,560	74,677	43,671	46,295
1,300	0,539	0,529	-1,553	68,115	55,542	46,082
1,310	0,532	0,515	-1,511	56,610	58,716	43,213
1,320	0,527	0,493	-1,439	41,779	54,504	38,544
1,330	0,531	0,466	-1,324	26,154	45,593	33,203
1,340	0,527	0,435	-1,191	12,756	34,729	27,985
1,350	0,518	0,418	-1,060	2,686	23,895	22,705
1,360	0,506	0,404	-0,941	-5,432	15,045	17,303
1,370	0,487	0,391	-0,841	-12,207	8,820	11,749
1,380	0,466	0,374	-0,755	-17,700	4,913	6,531
1,390	0,436	0,356	-0,686	-22,125	3,052	2,136
1,400	0,397	0,339	-0,626	-25,574	2,167	-1,312
1,410	0,359	0,323	-0,579	-28,381	1,129	-3,967
1,420	0,326	0,309	-0,549	-30,304	-1,038	-6,378
1,430	0,297	0,299	-0,522	-31,342	-4,364	-8,942
1,440	0,271	0,288	-0,501	-31,219	-9,583	-12,085
1,450	0,257	0,278	-0,489	-30,396	-16,296	-15,808
1,460	0,254	0,256	-0,483	-29,297	-23,315	-19,775
