potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
4,420	0,017	0,171	-0,988	-8,148	2,747	-1,709
4,430	0,027	0,177	-0,965	-11,078	2,136	-1,007
4,440	0,044	0,187	-0,956	-12,268	0,824	-0,336
4,450	0,063	0,206	-0,967	-12,329	0,397	-0,092
4,460	0,060	0,223	-0,978	-12,726	0,641	-0,061
4,470	0,039	0,228	-0,985	-12,878	-0,153	0,092
4,480	0,012	0,208	-0,997	-13,214	-1,740	1,190
4,490	-0,011	0,169	-1,011	-13,458	-1,587	2,625
4,500	-0,017	0,131	-1,016	-13,702	-0,549	3,693
4,510	-0,003	0,107	-1,016	-14,404	0,153	2,777
4,520	0,006	0,105	-1,008	-14,801	1,038	-0,397
4,530	-0,004	0,129	-0,997	-13,153	1,831	-4,242
4,540	-0,023	0,156	-0,996	-9,521	2,228	-6,897
4,550	-0,039	0,173	-0,996	-3,967	2,228	-7,629
4,560	-0,051	0,163	-1,012	3,937	2,075	-7,507
4,570	-0,076	0,131	-1,054	15,503	1,251	-7,721
4,580	-0,111	0,096	-1,142	32,074	-1,312	-9,247
4,590	-0,142	0,069	-1,287	50,751	-2,899	-11,230
4,600	-0,182	0,064	-1,518	64,575	-2,106	-13,733
4,610	-0,168	0,086	-1,781	68,756	-0,366	-17,853
4,620	-0,174	0,119	-2,049	59,967	2,777	-18,921
4,630	-0,177	0,158	-2,195	42,603	4,089	-18,890
4,640	-0,188	0,199	-2,162	18,585	2,136	-18,860
4,650	-0,173	0,246	-2,009	-6,744	-3,754	-18,219
4,660	-0,126	0,300	-1,794	-29,175	-11,993	-17,639
4,670	-0,063	0,347	-1,565	-45,319	-21,515	-17,365
4,680	-0,009	0,389	-1,348	-55,573	-30,151	-17,639
4,690	0,027	0,433	-1,158	-61,676	-37,079	-18,219
4,700	0,051	0,477	-0,995	-65,094	-42,694	-18,372
4,710	0,073	0,522	-0,855	-67,291	-46,631	-17,334
4,720	0,093	0,559	-0,730	-69,427	-47,577	-14,496
4,730	0,116	0,574	-0,621	-70,984	-44,983	-10,406
4,740	0,142	0,577	-0,539	-71,136	-38,422	-5,493
4,750	0,169	0,574	-0,484	-70,160	-27,649	0,092
4,760	0,194	0,565	-0,444	-68,115	-13,947	6,317
4,770	0,207	0,560	-0,403	-65,460	1,526	12,390
4,780	0,211	0,550	-0,351	-63,019	17,242	17,578
4,790	0,208	0,524	-0,293	-60,333	31,189	21,484
4,800	0,205	0,490	-0,241	-56,458	42,175	23,590
4,810	0,208	0,464	-0,197	-51,575	50,293	23,926
4,820	0,206	0,440	-0,161	-46,783	55,450	22,980
4,830	0,196	0,404	-0,133	-42,297	57,220	21,057
4,840	0,178	0,365	-0,115	-37,567	55,359	18,585
4,850	0,156	0,331	-0,105	-33,112	50,171	15,839
4,860	0,136	0,306	-0,096	-29,663	41,901	13,184
4,870	0,119	0,278	-0,080	-27,557	31,464	11,047
4,880	0,105	0,239	-0,054	-26,154	19,684	8,881
4,890	0,092	0,198	-0,021	-24,658	7,690	6,317
4,900	0,089	0,168	0,034	-23,468	-3,204	3,662
4,910	0,105	0,151	0,142	-23,285	-10,925	1,373
4,920	0,130	0,123	0,349	-25,970	-13,031	0,214
4,930	0,133	0,092	0,689	-32,623	-8,392	0,702
4,940	0,086	-0,009	1,150	-42,938	1,801	4,852
4,950	-0,051	-0,239	1,693	-49,835	15,076	13,550
4,960	-0,291	-0,555	2,119	-37,994	20,752	24,963
4,970	-0,552	-0,858	2,390	-3,601	7,965	40,405
4,980	0,090	0,915	-3,676	134,003	-96,985	50,812
4,990	-0,833	0,286	-5,779	320,404	-262,115	-15,900
5,000	-0,770	0,000	-4,353	114,227	-59,723	7,050
5,010	-0,529	-0,560	-1,392	-84,259	43,518	58,838
5,020	-0,568	-1,971	1,075	-145,477	84,442	74,280
5,030	-0,596	-1,931	1,391	-35,797	35,889	42,786
5,040	-0,340	-0,344	-0,968	99,731	-88,409	-2,991
5,050	-0,444	0,093	-3,133	128,510	-140,930	-24,658
5,060	-0,597	0,024	-2,559	33,997	-50,171	-0,305
5,070	-0,526	-0,258	-1,164	-33,203	-2,472	18,127
5,080	-0,344	-0,311	-0,436	-28,778	-14,191	19,928
5,090	-0,130	0,089	-0,808	11,047	-34,210	12,299
5,100	-0,128	0,332	-1,391	29,480	-41,718	2,045
5,110	-0,187	0,363	-1,338	14,862	-25,085	2,869
5,120	-0,119	0,293	-0,978	-0,458	-11,719	6,317
5,130	-0,031	0,190	-0,818	1,404	-10,925	6,317
5,140	-0,043	0,175	-0,939	13,458	-11,139	3,296
5,150	-0,099	0,173	-1,085	19,653	-10,223	0,977
5,160	-0,122	0,154	-1,075	17,059	-7,751	1,465
5,170	-0,119	0,123	-1,007	13,916	-5,615	2,838
5,180	-0,101	0,125	-0,992	14,069	-4,913	3,204
5,190	-0,079	0,161	-1,015	14,252	-4,059	2,533
5,200	-0,051	0,198	-1,019	11,932	-2,869	1,862
5,210	-0,028	0,219	-0,984	9,186	-2,808	1,495
5,220	-0,029	0,231	-0,960	8,118	-3,387	1,251
5,230	-0,053	0,236	-0,964	8,850	-4,425	0,397
5,240	-0,079	0,237	-0,984	9,735	-4,700	-0,732
5,250	-0,089	0,232	-0,995	10,223	-3,296	-1,953
5,260	-0,075	0,226	-0,998	9,583	-0,671	-2,838
5,270	-0,050	0,223	-1,000	8,087	1,648	-3,540
5,280	-0,030	0,229	-0,998	6,012	3,113	-3,937
5,290	-0,029	0,235	-0,983	3,845	3,571	-3,967
5,300	-0,041	0,244	-0,961	2,716	2,777	-3,723
5,310	-0,058	0,249	-0,958	2,838	1,495	-3,235
5,320	-0,072	0,250	-0,971	3,235	0,916	-2,472
5,330	-0,077	0,246	-0,983	3,143	0,885	-1,709
5,340	-0,073	0,237	-0,983	2,502	1,312	-1,343
5,350	-0,063	0,229	-0,985	1,740	2,106	-1,282
5,360	-0,053	0,228	-0,990	1,038	2,838	-1,404
5,370	-0,048	0,230	-0,992	-0,031	3,235	-1,556
5,380	-0,050	0,229	-0,986	-1,495	3,510	-1,526
5,390	-0,054	0,229	-0,973	-2,533	3,601	-1,251
5,400	-0,054	0,234	-0,961	-2,655	3,235	-0,916
5,410	-0,053	0,241	-0,961	-2,197	2,686	-0,702
5,420	-0,050	0,242	-0,968	-1,587	2,411	-0,610
5,430	-0,048	0,243	-0,972	-1,068	2,502	-0,824
5,440	-0,044	0,246	-0,973	-1,038	2,838	-1,404
5,450	-0,039	0,245	-0,976	-1,831	3,448	-2,075
5,460	-0,038	0,243	-0,977	-3,326	3,998	-2,716
5,470	-0,042	0,240	-0,973	-4,669	3,876	-3,021
5,480	-0,053	0,233	-0,970	-5,096	3,357	-2,808
5,490	-0,065	0,231	-0,970	-4,822	3,357	-2,075
5,500	-0,068	0,232	-0,968	-4,272	4,059	-1,129
5,510	-0,061	0,235	-0,965	-3,784	4,883	-0,549
5,520	-0,049	0,235	-0,964	-3,174	5,524	-0,671
5,530	-0,036	0,234	-0,968	-2,502	5,981	-1,312
5,540	-0,030	0,240	-0,971	-1,892	6,317	-2,136
5,550	-0,029	0,246	-0,972	-1,770	6,439	-3,052
5,560	-0,031	0,251	-0,972	-1,831	6,287	-3,937
5,570	-0,033	0,252	-0,972	-2,136	6,256	-4,608
5,580	-0,033	0,248	-0,972	-2,625	6,409	-5,188
5,590	-0,033	0,241	-0,973	-2,991	6,470	-5,493
5,600	-0,031	0,239	-0,974	-3,082	6,165	-5,493
5,610	-0,029	0,239	-0,973	-2,960	5,524	-5,432
5,620	-0,032	0,242	-0,976	-2,930	4,974	-5,035
5,630	-0,040	0,242	-0,979	-2,991	4,669	-4,303
5,640	-0,045	0,247	-0,976	-3,510	4,211	-3,021
5,650	-0,048	0,255	-0,972	-4,150	4,059	-1,373
5,660	-0,049	0,257	-0,968	-4,791	4,364	0,183
5,670	-0,047	0,259	-0,966	-5,066	4,608	1,343
5,680	-0,038	0,258	-0,965	-4,700	4,272	1,556
5,690	-0,030	0,254	-0,968	-4,028	3,967	1,404
5,700	-0,025	0,250	-0,973	-3,387	3,662	0,977
5,710	-0,024	0,241	-0,979	-2,838	3,357	0,397
5,720	-0,029	0,239	-0,980	-2,441	3,204	0,061
5,730	-0,033	0,242	-0,977	-2,380	3,113	0,061
5,740	-0,034	0,246	-0,972	-2,838	3,174	0,427
5,750	-0,030	0,251	-0,971	-3,601	3,357	1,068
5,760	-0,024	0,255	-0,968	-4,242	3,265	1,495
5,770	-0,018	0,258	-0,965	-4,578	3,174	1,617
5,780	-0,013	0,260	-0,962	-4,669	3,174	1,373
5,790	-0,010	0,263	-0,959	-4,608	3,082	0,916
5,800	-0,007	0,266	-0,959	-4,120	2,838	0,397
5,810	-0,011	0,265	-0,960	-3,265	2,441	-0,061
5,820	-0,019	0,264	-0,961	-2,441	1,831	-0,244
5,830	-0,025	0,261	-0,963	-1,953	1,129	-0,244
5,840	-0,030	0,256	-0,967	-1,801	0,549	0,000
5,850	-0,027	0,254	-0,972	-1,984	0,275	0,183
5,860	-0,021	0,254	-0,974	-2,319	0,275	0,305
5,870	-0,016	0,255	-0,977	-2,960	0,763	0,488
5,880	-0,015	0,256	-0,979	-3,662	1,251	0,580
5,890	-0,020	0,253	-0,976	-4,120	1,251	0,641
5,900	-0,025	0,254	-0,969	-4,211	0,946	0,763
5,910	-0,029	0,254	-0,964	-3,815	0,580	0,793
5,920	-0,030	0,256	-0,963	-3,235	0,305	1,007
5,930	-0,026	0,258	-0,965	-2,808	0,153	1,038
5,940	-0,019	0,260	-0,966	-2,594	0,153	0,885
5,950	-0,014	0,261	-0,968	-2,441	0,336	0,732
5,960	-0,014	0,263	-0,971	-2,502	0,519	0,671
5,970	-0,017	0,261	-0,975	-2,869	0,519	0,732
5,980	-0,021	0,257	-0,975	-3,357	0,214	0,977
5,990	-0,024	0,254	-0,973	-3,876	-0,031	1,404
6,000	-0,023	0,255	-0,970	-4,456	0,305	1,953
6,010	-0,019	0,262	-0,965	-5,035	1,038	2,472
6,020	-0,014	0,269	-0,962	-5,524	1,648	2,808
6,030	-0,009	0,272	-0,958	-5,798	1,801	2,716
6,040	-0,008	0,275	-0,959	-5,707	1,556	2,441
6,050	-0,012	0,276	-0,963	-5,646	1,099	2,350
6,060	-0,019	0,273	-0,967	-5,798	0,549	2,747
6,070	-0,026	0,268	-0,967	-5,676	0,244	3,204
6,080	-0,030	0,257	-0,966	-5,127	0,458	3,357
6,090	-0,025	0,250	-0,967	-4,639	0,671	3,204
6,100	-0,015	0,249	-0,969	-4,456	0,488	2,655
6,110	-0,008	0,253	-0,968	-4,456	0,061	1,801
6,120	-0,008	0,259	-0,969	-4,547	-0,336	0,946
6,130	-0,013	0,264	-0,971	-4,639	-0,641	0,427
6,140	-0,018	0,268	-0,971	-4,700	-0,824	0,244
6,150	-0,019	0,271	-0,967	-4,883	-0,732	0,458
6,160	-0,018	0,274	-0,963	-5,127	-0,275	0,824
6,170	-0,018	0,276	-0,958	-4,974	0,214	0,824
6,180	-0,017	0,278	-0,953	-4,181	0,519	0,488
6,190	-0,016	0,280	-0,956	-3,021	0,397	0,061
6,200	-0,017	0,277	-0,962	-2,106	0,122	-0,275
6,210	-0,016	0,275	-0,967	-1,831	0,000	-0,305
6,220	-0,016	0,270	-0,970	-2,075	-0,153	-0,427
6,230	-0,016	0,266	-0,971	-2,563	-0,366	-0,427
6,240	-0,014	0,266	-0,967	-3,235	-0,397	-0,366
6,250	-0,010	0,272	-0,962	-3,876	-0,061	-0,366
6,260	-0,010	0,275	-0,961	-4,181	0,244	-0,549
6,270	-0,013	0,278	-0,962	-3,937	0,244	-0,824
6,280	-0,017	0,281	-0,962	-3,448	0,031	-0,977
6,290	-0,020	0,280	-0,962	-2,930	-0,305	-1,068
6,300	-0,022	0,275	-0,964	-2,502	-0,671	-1,068
6,310	-0,020	0,275	-0,966	-2,289	-0,793	-1,007
6,320	-0,017	0,277	-0,967	-2,319	-0,610	-1,129
6,330	-0,014	0,278	-0,966	-2,747	-0,153	-1,190
6,340	-0,014	0,278	-0,962	-3,387	0,214	-1,221
6,350	-0,016	0,278	-0,957	-3,754	0,275	-1,404
6,360	-0,021	0,279	-0,956	-3,632	0,031	-1,617
6,370	-0,027	0,280	-0,959	-3,143	-0,305	-1,495
6,380	-0,031	0,283	-0,963	-2,716	-0,244	-1,099
6,390	-0,029	0,288	-0,965	-2,747	0,519	-0,427
6,400	-0,024	0,290	-0,964	-3,052	1,892	0,183
6,410	-0,017	0,291	-0,961	-3,235	3,448	0,397
6,420	-0,014	0,288	-0,960	-3,021	4,700	0,214
6,430	-0,014	0,283	-0,962	-2,258	5,463	-0,336
6,440	-0,015	0,281	-0,968	-1,343	6,042	-1,038
6,450	-0,019	0,283	-0,974	-0,916	6,683	-1,312
6,460	-0,021	0,290	-0,975	-0,824	7,050	-1,221
6,470	-0,019	0,294	-0,970	-0,824	7,416	-1,038
6,480	-0,008	0,295	-0,961	-0,977	7,751	-0,610
6,490	0,005	0,292	-0,952	-1,251	7,721	-0,031
6,500	0,015	0,286	-0,945	-1,038	6,836	0,275
6,510	0,020	0,279	-0,944	-0,488	5,615	0,031
6,520	0,022	0,276	-0,948	-0,031	4,242	-0,549
6,530	0,020	0,274	-0,955	0,610	2,899	-1,648
6,540	0,011	0,276	-0,963	1,404	2,014	-3,143
6,550	0,001	0,282	-0,967	1,862	2,075	-4,517
6,560	-0,008	0,284	-0,966	1,862	2,747	-5,341
6,570	-0,014	0,283	-0,962	2,075	3,357	-5,432
6,580	-0,020	0,280	-0,962	2,808	3,510	-5,127
6,590	-0,020	0,276	-0,964	3,510	3,113	-4,364
6,600	-0,016	0,272	-0,967	3,601	2,228	-3,296
6,610	-0,010	0,265	-0,968	2,991	1,068	-2,106
6,620	-0,004	0,262	-0,967	2,136	-0,183	-1,190
6,630	0,001	0,264	-0,965	1,282	-1,038	-0,732
6,640	0,006	0,268	-0,964	0,519	-1,404	-0,549
6,650	0,010	0,268	-0,965	-0,092	-1,556	-0,702
6,660	0,010	0,266	-0,965	-0,458	-1,740	-1,129
6,670	0,005	0,264	-0,965	-0,580	-1,984	-1,740
6,680	-0,002	0,265	-0,965	-0,732	-2,319	-2,258
6,690	-0,008	0,270	-0,960	-1,007	-2,716	-2,380
6,700	-0,012	0,277	-0,956	-1,129	-3,082	-2,350
6,710	-0,012	0,284	-0,955	-0,763	-3,326	-2,289
6,720	-0,008	0,286	-0,959	-0,214	-3,204	-2,106
6,730	-0,004	0,281	-0,966	0,336	-2,869	-1,953
6,740	-0,003	0,274	-0,971	0,732	-2,655	-2,045
6,750	-0,005	0,268	-0,975	0,763	-2,533	-2,289
6,760	-0,013	0,263	-0,975	0,580	-2,563	-2,380
6,770	-0,019	0,261	-0,974	0,153	-2,777	-2,167
6,780	-0,020	0,266	-0,971	-0,519	-2,869	-1,862
6,790	-0,018	0,274	-0,968	-1,160	-2,441	-1,526
6,800	-0,014	0,282	-0,968	-1,404	-1,892	-1,129
6,810	-0,010	0,285	-0,967	-1,404	-1,465	-0,854
6,820	-0,009	0,283	-0,962	-1,251	-1,129	-0,824
6,830	-0,010	0,277	-0,958	-0,854	-0,916	-1,099
6,840	-0,009	0,271	-0,959	-0,427	-0,916	-1,434
6,850	-0,007	0,269	-0,963	0,000	-1,038	-1,678
6,860	-0,004	0,270	-0,969	0,092	-0,824	-1,892
6,870	-0,003	0,274	-0,972	-0,244	-0,275	-2,045
6,880	-0,006	0,277	-0,971	-0,854	0,397	-1,984
6,890	-0,011	0,277	-0,965	-1,404	0,732	-1,831
6,900	-0,014	0,275	-0,960	-1,678	0,427	-1,678
6,910	-0,014	0,273	-0,957	-1,495	-0,275	-1,556
6,920	-0,014	0,271	-0,959	-1,038	-0,885	-1,434
6,930	-0,013	0,271	-0,964	-0,793	-1,129	-1,343
6,940	-0,013	0,272	-0,969	-0,885	-1,099	-1,129
6,950	-0,011	0,273	-0,971	-1,099	-0,763	-1,068
6,960	-0,010	0,273	-0,969	-1,373	-0,214	-1,099
6,970	-0,012	0,272	-0,965	-1,526	0,061	-1,068
6,980	-0,015	0,272	-0,961	-1,556	-0,305	-1,007
6,990	-0,018	0,271	-0,957	-1,526	-1,373	-0,732
7,000	-0,020	0,272	-0,955	-1,282	-2,686	-0,305
7,010	-0,021	0,277	-0,959	-0,946	-3,387	0,214
7,020	-0,020	0,282	-0,966	-0,580	-2,960	0,763
7,030	-0,019	0,281	-0,975	-0,214	-1,801	1,404
7,040	-0,015	0,272	-0,981	0,000	-0,580	1,953
7,050	-0,014	0,260	-0,983	-0,061	0,610	2,014
7,060	-0,017	0,250	-0,980	-0,580	1,282	1,678
7,070	-0,020	0,245	-0,974	-1,465	1,312	1,129
7,080	-0,018	0,250	-0,967	-2,228	1,190	0,671
7,090	-0,015	0,261	-0,966	-2,441	1,282	0,214
7,100	-0,010	0,274	-0,967	-2,319	1,617	0,122
7,110	-0,005	0,286	-0,965	-2,350	2,197	0,366
7,120	-0,002	0,291	-0,961	-2,594	2,563	0,732
7,130	0,001	0,286	-0,956	-2,716	2,258	0,916
7,140	0,003	0,281	-0,953	-2,319	1,343	0,671
7,150	0,006	0,279	-0,953	-1,495	0,793	-0,031
7,160	0,011	0,281	-0,956	-0,916	0,885	-0,946
7,170	0,014	0,285	-0,956	-1,099	1,251	-1,770
7,180	0,011	0,288	-0,956	-1,587	1,282	-2,502
7,190	0,005	0,290	-0,953	-1,862	0,854	-3,052
7,200	-0,005	0,293	-0,952	-1,801	0,214	-3,204
7,210	-0,014	0,290	-0,954	-1,587	-0,488	-2,899
7,220	-0,017	0,288	-0,958	-1,221	-1,160	-2,289
7,230	-0,016	0,287	-0,963	-1,007	-1,251	-1,526
7,240	-0,020	0,279	-0,970	-1,099	-0,793	-0,763
7,250	-0,028	0,268	-0,975	-1,007	-0,183	-0,122
7,260	-0,036	0,261	-0,978	-0,580	0,488	0,397
7,270	-0,039	0,257	-0,977	-0,275	1,068	0,793
7,280	-0,036	0,256	-0,975	-0,336	1,617	0,977
7,290	-0,028	0,261	-0,973	-0,610	1,953	1,068
7,300	-0,017	0,267	-0,971	-0,793	2,228	1,221
7,310	-0,010	0,277	-0,972	-0,488	2,533	1,343
7,320	-0,009	0,295	-0,978	-0,458	2,777	1,862
7,330	-0,015	0,305	-0,981	-1,221	3,387	3,326
7,340	-0,025	0,297	-0,982	-2,319	4,242	5,157
7,350	-0,029	0,289	-0,976	-2,930	5,188	6,714
7,360	-0,029	0,285	-0,969	-3,021	6,592	8,270
7,370	-0,030	0,253	-0,963	-2,411	7,599	9,491
7,380	-0,017	0,232	-0,961	0,610	6,866	8,667
7,390	-0,030	0,251	-0,967	3,571	4,395	5,829
7,400	-0,051	0,262	-0,991	4,578	0,275	2,899
7,410	-0,054	0,256	-1,007	6,104	-3,784	3,326
7,420	-0,043	0,284	-1,004	9,003	-4,791	5,829
7,430	-0,028	0,269	-0,990	10,254	-2,808	8,392
7,440	0,013	0,251	-0,960	11,536	-0,244	9,644
7,450	0,054	0,249	-0,939	12,909	2,594	8,850
7,460	0,080	0,254	-0,929	13,550	4,639	6,683
7,470	0,090	0,254	-0,928	12,665	6,226	3,693
7,480	0,082	0,246	-0,934	10,590	7,935	0,214
7,490	0,052	0,238	-0,947	9,583	9,644	-3,876
7,500	0,021	0,260	-0,939	9,888	8,209	-5,798
7,510	-0,001	0,287	-0,936	8,240	2,014	-2,899
7,520	-0,005	0,290	-0,947	4,181	-4,150	1,923
7,530	0,004	0,285	-0,957	0,458	-10,071	8,575
7,540	0,013	0,267	-0,971	-2,289	-13,611	13,794
7,550	0,021	0,247	-0,980	-4,517	-14,008	15,686
7,560	0,029	0,227	-0,981	-6,226	-13,184	14,587
7,570	0,025	0,204	-0,974	-7,080	-12,207	10,834
7,580	0,012	0,189	-0,969	-6,104	-10,925	4,883
7,590	0,002	0,193	-0,971	-3,296	-9,216	-2,167
7,600	-0,003	0,218	-0,980	-0,427	-7,202	-8,392
7,610	-0,008	0,250	-0,986	0,977	-5,524	-12,207
7,620	-0,013	0,279	-0,983	0,458	-4,395	-12,939
7,630	-0,019	0,296	-0,972	-1,129	-4,089	-10,712
7,640	-0,024	0,296	-0,960	-2,655	-4,639	-6,744
7,650	-0,024	0,285	-0,954	-3,479	-5,585	-2,625
7,660	-0,018	0,267	-0,958	-3,510	-6,592	0,214
7,670	-0,011	0,249	-0,966	-2,716	-6,927	1,038
7,680	-0,001	0,238	-0,972	-1,373	-5,981	-0,275
7,690	0,000	0,236	-0,975	0,153	-3,998	-3,174
7,700	-0,005	0,240	-0,974	1,404	-2,350	-6,287
7,710	-0,011	0,245	-0,971	1,831	-1,770	-8,423
7,720	-0,020	0,250	-0,969	1,343	-2,075	-8,972
7,730	-0,028	0,253	-0,971	0,122	-3,082	-8,423
7,740	-0,028	0,257	-0,973	-1,465	-4,303	-7,355
7,750	-0,022	0,263	-0,973	-2,930	-5,157	-5,951
7,760	-0,018	0,268	-0,972	-3,662	-5,096	-4,486
7,770	-0,021	0,273	-0,970	-3,601	-4,242	-3,357
7,780	-0,027	0,274	-0,969	-3,387	-3,448	-2,563
7,790	-0,032	0,271	-0,969	-3,204	-3,021	-1,953
7,800	-0,037	0,263	-0,970	-2,747	-2,686	-1,343
7,810	-0,039	0,256	-0,973	-2,075	-2,228	-1,007
7,820	-0,038	0,249	-0,977	-1,373	-1,587	-1,068
7,830	-0,032	0,247	-0,980	-0,763	-0,610	-1,465
7,840	-0,025	0,250	-0,977	-0,488	0,336	-1,953
7,850	-0,020	0,256	-0,970	-0,610	0,793	-2,319
7,860	-0,020	0,260	-0,963	-0,977	0,519	-2,258
7,870	-0,021	0,261	-0,956	-1,526	-0,549	-1,984
7,880	-0,022	0,256	-0,955	-1,984	-2,075	-1,801
7,890	-0,026	0,250	-0,960	-2,136	-3,632	-1,740
7,900	-0,027	0,246	-0,970	-1,923	-4,822	-2,075
7,910	-0,026	0,245	-0,979	-1,740	-5,035	-2,808
7,920	-0,024	0,247	-0,982	-1,495	-4,181	-3,723
7,930	-0,021	0,252	-0,978	-1,190	-2,777	-4,761
7,940	-0,021	0,258	-0,969	-0,824	-1,526	-5,646
7,950	-0,024	0,259	-0,960	-0,214	-1,434	-6,195
7,960	-0,028	0,254	-0,957	0,549	-2,380	-6,439
7,970	-0,032	0,246	-0,959	1,465	-3,418	-6,866
7,980	-0,035	0,246	-0,964	2,350	-3,815	-7,446
7,990	-0,038	0,254	-0,972	2,686	-3,479	-7,874
8,000	-0,039	0,267	-0,976	1,953	-2,991	-7,538
8,010	-0,040	0,279	-0,977	0,153	-2,808	-5,920
8,020	-0,042	0,280	-0,971	-1,892	-3,082	-3,326
8,030	-0,047	0,272	-0,966	-3,296	-3,662	-0,549
8,040	-0,049	0,259	-0,964	-3,845	-4,333	1,434
8,050	-0,045	0,249	-0,965	-3,693	-4,730	2,045
8,060	-0,038	0,243	-0,970	-3,021	-4,425	1,343
8,070	-0,031	0,243	-0,974	-2,258	-3,540	-0,183
8,080	-0,032	0,246	-0,977	-1,770	-2,441	-1,984
8,090	-0,038	0,252	-0,976	-1,587	-1,526	-3,479
8,100	-0,043	0,258	-0,974	-1,678	-0,854	-4,303
8,110	-0,048	0,263	-0,970	-2,014	-0,427	-4,242
8,120	-0,050	0,265	-0,966	-2,411	-0,336	-3,296
8,130	-0,050	0,264	-0,963	-2,686	-0,549	-1,923
8,140	-0,046	0,260	-0,963	-2,563	-1,038	-0,793
8,150	-0,043	0,257	-0,966	-2,106	-1,495	-0,366
8,160	-0,041	0,252	-0,970	-1,770	-1,770	-0,549
8,170	-0,041	0,250	-0,971	-1,617	-1,678	-1,099
8,180	-0,041	0,250	-0,969	-1,434	-1,312	-1,740
8,190	-0,040	0,255	-0,966	-1,312	-0,793	-2,289
8,200	-0,038	0,260	-0,963	-1,495	-0,488	-2,502
8,210	-0,038	0,264	-0,964	-1,831	-0,793	-2,319
8,220	-0,042	0,266	-0,965	-2,075	-1,465	-1,953
8,230	-0,046	0,266	-0,968	-2,319	-2,228	-1,556
8,240	-0,047	0,267	-0,968	-2,594	-2,502	-1,068
8,250	-0,047	0,265	-0,966	-2,563	-2,045	-0,519
8,260	-0,048	0,262	-0,966	-2,197	-1,465	0,000
8,270	-0,049	0,258	-0,966	-1,617	-0,977	0,214
8,280	-0,047	0,254	-0,968	-1,221	-0,549	-0,031
8,290	-0,043	0,252	-0,970	-0,977	-0,214	-0,397
8,300	-0,041	0,251	-0,972	-0,946	0,000	-0,824
8,310	-0,039	0,251	-0,971	-1,221	0,031	-1,221
8,320	-0,038	0,251	-0,968	-1,831	-0,183	-1,526
8,330	-0,036	0,251	-0,966	-2,686	-0,702	-1,770
8,340	-0,035	0,253	-0,965	-3,510	-1,373	-1,953
8,350	-0,033	0,254	-0,969	-4,242	-2,075	-2,441
8,360	-0,036	0,254	-0,973	-4,730	-2,075	-3,357
8,370	-0,043	0,255	-0,970	-4,791	-1,465	-4,517
8,380	-0,053	0,260	-0,965	-4,303	-0,854	-5,463
8,390	-0,058	0,267	-0,959	-3,296	-0,732	-5,798
8,400	-0,058	0,277	-0,955	-2,502	-0,458	-5,035
8,410	-0,059	0,285	-0,955	-2,045	-0,153	-3,418
8,420	-0,057	0,288	-0,957	-1,556	-0,275	-1,404
8,430	-0,052	0,285	-0,960	-0,977	-0,641	0,610
8,440	-0,051	0,278	-0,965	-0,519	-0,885	2,472
8,450	-0,053	0,268	-0,970	-0,336	-0,824	3,540
8,460	-0,056	0,254	-0,975	-0,427	-0,244	3,723
8,470	-0,053	0,247	-0,978	-0,183	0,549	3,082
8,480	-0,046	0,247	-0,979	0,092	1,831	1,678
8,490	-0,039	0,251	-0,974	0,031	3,235	0,275
8,500	-0,038	0,255	-0,966	-0,488	3,876	-0,702
8,510	-0,042	0,256	-0,959	-0,977	3,265	-1,251
8,520	-0,045	0,258	-0,956	-1,038	1,709	-1,343
8,530	-0,046	0,261	-0,960	-0,916	0,275	-1,007
8,540	-0,045	0,267	-0,967	-0,885	-0,183	-0,336
8,550	-0,042	0,272	-0,970	-1,160	0,153	0,458
8,560	-0,039	0,274	-0,968	-1,495	0,732	0,946
8,570	-0,035	0,273	-0,963	-1,648	1,221	1,221
8,580	-0,035	0,268	-0,960	-1,587	1,251	1,221
8,590	-0,038	0,258	-0,961	-1,434	0,641	0,854
8,600	-0,044	0,249	-0,967	-1,282	-0,305	-0,061
8,610	-0,048	0,244	-0,974	-1,190	-0,916	-1,343
8,620	-0,048	0,248	-0,977	-1,221	-0,580	-2,594
8,630	-0,046	0,259	-0,974	-1,282	0,488	-3,326
8,640	-0,044	0,271	-0,966	-1,343	1,526	-3,204
8,650	-0,046	0,278	-0,957	-1,556	1,953	-2,136
8,660	-0,046	0,277	-0,952	-1,709	1,373	-0,549
8,670	-0,047	0,269	-0,954	-1,556	0,336	0,885
8,680	-0,045	0,263	-0,960	-1,160	-0,610	1,556
8,690	-0,040	0,255	-0,967	-1,038	-1,129	1,190
8,700	-0,036	0,250	-0,973	-0,977	-1,038	0,122
8,710	-0,035	0,248	-0,977	-0,854	-0,458	-1,251
8,720	-0,037	0,250	-0,976	-0,916	0,183	-2,563
8,730	-0,038	0,254	-0,972	-1,221	0,244	-3,540
8,740	-0,040	0,256	-0,967	-1,709	-0,153	-4,181
8,750	-0,041	0,257	-0,964	-2,075	-0,549	-4,517
8,760	-0,041	0,260	-0,963	-2,258	-0,793	-4,730
8,770	-0,038	0,262	-0,965	-2,441	-0,916	-4,883
8,780	-0,037	0,264	-0,966	-2,747	-1,099	-4,913
8,790	-0,039	0,266	-0,966	-3,174	-1,038	-4,913
8,800	-0,045	0,265	-0,967	-3,662	-0,946	-4,791
